index,BART,source,A,B,AxB_A,AxB_B,AxB_NotSure,A_fluency,B_fluency,SxA_S,SxA_A,SxA_NotSure,SxB_S,SxB_B,SxB_NotSure
10,True,Jorge Humberto Rodriguez is the manager of A.D. Isidro Metapan and his club is Alianza F.C. but he plays for the El Salvador national football team .,Jorge Humberto Rodriguez manages the A.D. Isidro Metapan and plays for Alianza F.C. . Jorge Hernandez plays for the El Salvador national football team .,Jorge Humberto Rodriguez manages the A.D. Isidro Metapan . Jorge Humberto Rodriguez club is Alianza F.C. Jorge Humberto Rodriguez plays for the El Salvador national football team .,5,2,0,27,27,3,4,0,3,4,0
11,False,Jorge Humberto Rodriguez is the manager of A.D. Isidro Metapan and his club is Alianza F.C. but he plays for the El Salvador national football team .,Jorge Humberto Rodriguez manages the A.D. Isidro Metapan and plays for the El Salvador national football team . Jorge Humberto Rodriguez club is Alianza F.C.,Jorge Humberto Rodriguez manages the A.D. Isidro Metapan . Jorge Humberto Rodriguez club is Alianza F.C. Jorge Humberto Rodriguez plays for the El Salvador national football team .,5,2,0,27,27,3,4,0,3,4,0
12,True,"A.C. Lumezzane play in Italy where the capital is Rome , the spoken language is Italian and the leader is Pietro Grasso .",A.C. Lumezzane play in Italy where Pietro Grasso is the leader and the capital city is Rome . The spoken language in Italy is Italian .,A.C. Lumezzane play in italy where the leader is Pietro Grasso . Rome is the capital of Italy . The Italian language is spoken in Italy .,6,1,0,27,21,1,6,0,3,4,0
13,False,"A.C. Lumezzane play in Italy where the capital is Rome , the spoken language is Italian and the leader is Pietro Grasso .",Petro Grasso is the leader of Italy which is home to AC Lumezzane . The country uses the Italian language and has the capital city of Rome .,A.C. Lumezzane play in italy where the leader is Pietro Grasso . Rome is the capital of Italy . The Italian language is spoken in Italy .,6,1,0,27,21,1,6,0,3,4,0
14,True,The ground for AEK Athens FC is the Olympic Stadium ( Athens ) in Athens whose mayor is Giorgos Kaminis .,The Olympic Stadium ( Athens ) is the home ground of AEK Athens FC . The mayor of Athens is Giorgos Kaminis .,The ground for AEK Athens FC is the Olympic Stadium ( Athens ) . The Olympic Stadium is in Athens . The mayor of Athens is Giorgos Kaminis .,4,3,0,27,24,3,4,0,2,4,1
15,False,The ground for AEK Athens FC is the Olympic Stadium ( Athens ) in Athens whose mayor is Giorgos Kaminis .,"The Olympic Stadium , in Athens , is the home ground of AEK Athens FC . The mayor of Athens is Giorgos Kaminis .",The ground for AEK Athens FC is the Olympic Stadium ( Athens ) . The Olympic Stadium is in Athens . The mayor of Athens is Giorgos Kaminis .,4,3,0,27,24,3,4,0,2,4,1
16,True,Alfred N Phillips was born in Darien Connecticut and prior to being succeeded by Albert E Austin worked as Member of the U.S. House of Representatives from Connecticut 's 4th district .,Darien . Connecticut is the birthplace of Alfred N. Phillips who worked as Member of the U.S. House of Representatives from Connecticut 's 4th district and was succeeded by Albert E. Austin .,"Albert E. Austin succeeded Alfred N. Phillips . Alfred N. Phillips was born in Darien , Connecticut . Alfred N Phillips worked as Member of the U.S. House of Representatives from Connecticut 's 4th district .",4,3,0,26,24,0,7,0,1,6,0
17,False,Alfred N Phillips was born in Darien Connecticut and prior to being succeeded by Albert E Austin worked as Member of the U.S. House of Representatives from Connecticut 's 4th district .,"Albert E. Austin succeeded Alfred N. Phillips . Alfred N. Phillips , born in Darien , Connecticut , was a Member of the U.S. House of Representatives from Connecticut 's 4th district .","Albert E. Austin succeeded Alfred N. Phillips . Alfred N. Phillips was born in Darien , Connecticut . Alfred N Phillips worked as Member of the U.S. House of Representatives from Connecticut 's 4th district .",4,3,0,26,24,0,7,0,1,6,0
18,True,"Born in Miri , in Malayasia , Abdul Taib Mahmud , resides in Sarawak and is a member of the `` Barisan Ra'ayat Jati Sarawak '' party .","Born in Miri , in Malayasia , Abdul Taib Mahmud , resides in Sarawak . He is a member of the '' Barisan Ra'ayat Jati sarawak '' party .","Abdul Taib Mahmud resides in Sarawak . Abdul Taib Mahmud was born in Miri , Malaysia . Abdul Taib Mahmud is a member of the `` Barisan Ra'ayat Jati Sarawak '' party .",5,2,0,34,25,1,6,0,4,3,0
19,False,"Born in Miri , in Malayasia , Abdul Taib Mahmud , resides in Sarawak and is a member of the `` Barisan Ra'ayat Jati Sarawak '' party .","Abdul Taib Mahmud resides in Sarawak . Born in Miri , Malaysia , Abdul Taid Mahmud , is a member of Barisan Ra'ayat Jati Sarawak party .","Abdul Taib Mahmud resides in Sarawak . Abdul Taib Mahmud was born in Miri , Malaysia . Abdul Taib Mahmud is a member of the `` Barisan Ra'ayat Jati Sarawak '' party .",5,2,0,34,25,1,6,0,4,3,0
20,True,"The Aston Martin V8 was manufactured by Aston Martin , succeeded by the Aston Martin Virage , and is a related means of transport to the Aston Martin DBS .",The Aston Martin V8 was manufactured by Aston Martin and was succeeded by the Aston Martin Virage . Aston Martin DBS and Aston Martin are related types of transport .,The Aston Martin V8 and Aston Martin DBS are a related means of transport . The Aston Martin V8 was manufactured by Aston Martin . The Aston Martin Virage succeeded the Aston Martin V8 .,4,3,0,26,25,4,3,0,5,2,0
21,False,"The Aston Martin V8 was manufactured by Aston Martin , succeeded by the Aston Martin Virage , and is a related means of transport to the Aston Martin DBS .","The Aston Martin V8 , manufactured by Aston Martin and the Aston Martin DBS are related means of transport . The Aston Martin V8 was succeeded by the Aston Martin Virage .",The Aston Martin V8 and Aston Martin DBS are a related means of transport . The Aston Martin V8 was manufactured by Aston Martin . The Aston Martin Virage succeeded the Aston Martin V8 .,4,3,0,26,25,4,3,0,5,2,0
22,True,A.S. Livorno Calcio are managed by Christian Panucci who played football for Genoa C.F.C. and the Italy national football team .,A.S. Livorno Calcio are managed by Christian Panucci who played football for Genoa C.F.C. Christian Panuccio played for the Italy national football team .,A.S. Livorno Calcio are managed by Christian Panucci . Christian Panucci played football for Genoa C.F.C. Christian Panucci plays for the Italy national football team .,7,0,0,28,21,2,5,0,2,5,0
23,False,A.S. Livorno Calcio are managed by Christian Panucci who played football for Genoa C.F.C. and the Italy national football team .,A.S. Livorno Calcio are managed by Christian Panucci who played for the Italy national football team . Christian Panucci played football for Genoa C.F.C.,A.S. Livorno Calcio are managed by Christian Panucci . Christian Panucci played football for Genoa C.F.C. Christian Panucci plays for the Italy national football team .,7,0,0,28,21,2,5,0,2,5,0
24,True,Aaron Hunt played for the Goslarer SC 08 youth team but he currently plays for SV Werder Bremen and his club is the Germany national under-21 football team .,Aaron Hunt played for the Goslarer SC 08 youth team . Aaron Hunt plays for SV Werder Bremen and the Germany national under-21 football team .,Aaron Hunt 's club is the Germany national under-21 football team . Aaron Hunt played for the Goslarer SC 08 youth team . Aaron Hunt plays for SV Werder Bremen .,5,2,0,34,28,3,4,0,4,3,0
25,True,Scott Adsit voiced the character Baymax which was created by Duncan Rouleau and Steven T. Seagle .,Scott Adsit voiced the character Baymax . Baymax was created by Duncan Rouleau and Steven T. Seagle .,The character Baymax is voiced by Scott Adsit . Duncan Rouleau created Baymax . Baymax was created by Steve T. Seagle .,3,4,0,26,28,4,3,0,0,7,0
26,False,Scott Adsit voiced the character Baymax which was created by Duncan Rouleau and Steven T. Seagle .,The character Baymax is voiced by Scott Adsit . Duncan Rouleau and Steven T. Seagle created Baymax .,The character Baymax is voiced by Scott Adsit . Duncan Rouleau created Baymax . Baymax was created by Steve T. Seagle .,3,4,0,26,28,4,3,0,0,7,0
27,True,"Albert B. White was born on September 22nd , 1856 and died in Parkersburg West Virginia on July 3rd , 1941 .","Albert B. White was born on September 22nd , 1856 . He died in Parkersburg West Virginia on July 3rd , 1941 .","Albert B White died in 1941 . Albert B White was born on September 22nd 1856 and died July 7th , 1941 . Albert B. White died in Parkersburg , West Virginia .",6,1,0,31,23,1,6,0,6,1,0
28,False,"Albert B. White was born on September 22nd , 1856 and died in Parkersburg West Virginia on July 3rd , 1941 .","Albert B. White was born 22nd of September , 1856 and died on 3rd of July , 1941 . Albert B. White died in Parkersburg , West Virginia .","Albert B White died in 1941 . Albert B White was born on September 22nd 1856 and died July 7th , 1941 . Albert B. White died in Parkersburg , West Virginia .",6,1,0,31,23,1,6,0,6,1,0
29,True,"Akeem Dent , whose club is the Houston Texans , was born in Atlanta , Georgia on 27 September 1987 .",Akeem Dent 's club is the Houston Texans . Akeem Dent was born in Atlanta Georgia on 27 September 1987 .,Akeem Dent 's club is the Houston Texans . Akeem Dent was born on the 27th September 1987 . Akeem Dent was born in Atlanta Georgia .,4,3,0,29,27,3,4,0,3,4,0
30,False,"Akeem Dent , whose club is the Houston Texans , was born in Atlanta , Georgia on 27 September 1987 .","Akeem Dent 's club is the Houston Texans . Akeem Dent was born in Atlanta , Georgia on 27 September 1987 .",Akeem Dent 's club is the Houston Texans . Akeem Dent was born on the 27th September 1987 . Akeem Dent was born in Atlanta Georgia .,4,3,0,29,27,3,4,0,3,4,0
31,True,"Born in Stellendam , Ab Klink , whose alma mater is Leiden University , belongs to the Christian Democratic Appeal party .",Ab Klink 's alma mater is Leiden University . Ab Klink was born in Stellendam and belongs to the Christian Democratic Appeal party .,Ab Klink belongs to the Christian Democratic Appeal party . Ab Klink was born in Stellendam . Ab Klink 's alma mater is Leiden University .,2,4,1,24,31,3,4,0,2,5,0
32,False,"Born in Stellendam , Ab Klink , whose alma mater is Leiden University , belongs to the Christian Democratic Appeal party .","Born in Stellendam , Ab Klink , belongs to the Christian Democratic Appeal party . Ab Klink 's alma mater is Leiden University .",Ab Klink belongs to the Christian Democratic Appeal party . Ab Klink was born in Stellendam . Ab Klink 's alma mater is Leiden University .,2,4,1,24,31,3,4,0,2,5,0
33,True,Denzil Antonio is the manager of Akron Summit Assault which has 3000 members and played in the 2011 PDL season .,Denzil Antonio is the manager of Akron Summit Assault which has 3000 members . They play in the 2011 PDL season .,Akron Summit Assault has 3000 members . Denzil Antonio is the manager of Akron Summit Assault . Akron Summit Assault play in the 2011 PDL season .,1,5,1,24,30,2,5,0,1,6,0
34,False,Denzil Antonio is the manager of Akron Summit Assault which has 3000 members and played in the 2011 PDL season .,Denzil Antonio is the manager of Akron Summit Assault which has 3000 members . Akron Summit Assault play in the 2011 PDL season .,Akron Summit Assault has 3000 members . Denzil Antonio is the manager of Akron Summit Assault . Akron Summit Assault play in the 2011 PDL season .,1,5,1,24,30,2,5,0,1,6,0
35,True,Aaron Bertram performs ska punk music and is an artist with the band Kids Imagine Nation and also the Suburban Legends band where Brian Robertson is the trombonist .,Aaron Bertram is an artist with the band Kids Imagine Nation and plays for the Suburban Legends band . Brian Robertson plays the trombone .,Aaron Bertram plays for the Suburban Legends band and Kids Imagine Nation . Brian Robertson plays the trombone in the band Suburban Legends . Aaron Bertram performs ska punk music .,3,3,1,24,22,2,5,0,5,2,0
36,False,Aaron Bertram performs ska punk music and is an artist with the band Kids Imagine Nation and also the Suburban Legends band where Brian Robertson is the trombonist .,Aaron Bertram plays for the Kids Imagine Nation band and his musical genre is Ska punk . He also plays for the Suburban Legends band in which Brian Robertson plays the trombone .,Aaron Bertram plays for the Suburban Legends band and Kids Imagine Nation . Brian Robertson plays the trombone in the band Suburban Legends . Aaron Bertram performs ska punk music .,3,3,1,24,22,2,5,0,5,2,0
37,True,"Antwerp International Airport ; serves the city of Antwerp , is in the Flemish region and is operated by the Flemish department of mobility and public works .",Antwerp International Airport serves the city of Antwerp in the Flemish region . It is operated by Flemishes department of mobility and public works .,Antwerp International Airport is owned by the Flemish Region . Antwerp International Airport operation organization is Flemish department of mobility and public works . Antwerp International Airport serves the city of Antwerp .,5,2,0,30,27,2,5,0,4,3,0
38,False,"Antwerp International Airport ; serves the city of Antwerp , is in the Flemish region and is operated by the Flemish department of mobility and public works .",Antwerp International Airport serves Antwerp . It is owned by the Flemish Region and operated by the Flemish department of Mobility and Public Works .,Antwerp International Airport is owned by the Flemish Region . Antwerp International Airport operation organization is Flemish department of mobility and public works . Antwerp International Airport serves the city of Antwerp .,5,2,0,30,27,2,5,0,4,3,0
39,True,"In the class Monocotyledon , and belonging to the order Poales is Poaceae which is the surface type of the second runway of Ardmore Airport , New Zealand .","In the class Monocotyledon , and belonging to the order Poales is Poaceae . It is the surface type of the second runway of Ardmore Airport , New Zealand .","Poaceae is the surface type of the second runway of Ardmore Airport , New Zealand . Poaceae is in the class Monocotyledon . Poaceae is of the order Poales .",4,3,0,31,27,3,4,0,2,5,0
40,False,"In the class Monocotyledon , and belonging to the order Poales is Poaceae which is the surface type of the second runway of Ardmore Airport , New Zealand .","Poaceae , of the class Monocotyledon , is the surface type of the second runway at Ardmore Airport , New Zealand . Poaceae is of the order Poales .","Poaceae is the surface type of the second runway of Ardmore Airport , New Zealand . Poaceae is in the class Monocotyledon . Poaceae is of the order Poales .",4,3,0,31,27,3,4,0,2,5,0
41,True,"Adam Koc , who fought in the Polish -- Soviet War was awarded both the Order of Polonia Restituta and the Cross of Independence .",Adam Koc fought in the Polish -- Soviet War and was awarded the Order of Polonia Restituta . Adam Koc has won the Cross of Independence award .,Adam Koc fought in the Polish -- Soviet War . Adam Koc was awarded the Order of Polonia Restituta . Adam Koc was awarded the Cross of Independence .,6,1,0,31,24,3,4,0,5,2,0
42,False,"Adam Koc , who fought in the Polish -- Soviet War was awarded both the Order of Polonia Restituta and the Cross of Independence .","Adam Koc , fought in the Polish -- Soviet War and was awarded the Order of Polonia Restituta . Adam Koc was awarded the Cross of Independence .",Adam Koc fought in the Polish -- Soviet War . Adam Koc was awarded the Order of Polonia Restituta . Adam Koc was awarded the Cross of Independence .,6,1,0,31,24,3,4,0,5,2,0
43,True,"Adenan Satem succeeded , Abdul Taib Mahmud , who was born in the Kingdom of Sarawak , and resides in , Demak Jaya , Jalan Bako , Kuching , Sarawak .","Adenan Satem succeeded Abdul Taib Mahmud , who was born in the Kingdom of Sarawak . He resides in Demak Jaya , Jalan Bako , Kuching , Sarawak .","Adenan Satem succeeded Abdul Taib Mahmud . Abdul Taib Mahmud was born in the Kingdom of Sarawak . Abdul Taib Mahmud resides in Demak Jaya , Jalan Bako , Kuching , Sarawak .",3,4,0,29,29,3,4,0,2,5,0
44,False,"Adenan Satem succeeded , Abdul Taib Mahmud , who was born in the Kingdom of Sarawak , and resides in , Demak Jaya , Jalan Bako , Kuching , Sarawak .","Adenan Satem succeeded by Abdul Taib Mahmud , who was born in the Kingdom of Sarawak . Abdul Taib Mahmud resides in Demak Jaya , Jalan Bako , Kuching , Sarawak .","Adenan Satem succeeded Abdul Taib Mahmud . Abdul Taib Mahmud was born in the Kingdom of Sarawak . Abdul Taib Mahmud resides in Demak Jaya , Jalan Bako , Kuching , Sarawak .",3,4,0,29,29,3,4,0,2,5,0
45,True,"The European Space Agency manufactured the Ariane 5 , the launch site of which , was ELA-3 launchpad , located at the Guiana Space Centre .",The European Space Agency manufactured the Ariane . . The launch site of Ariane was ELA-3 launchpad at the Guiana Space Centre .,The launch site of the Ariane was ELA-3 launchpad . The ELA-3 is located at the Guiana Space Centre . The European Space Agency manufactured the Ariane 5 .,4,3,0,26,26,2,5,0,4,3,0
46,False,"The European Space Agency manufactured the Ariane 5 , the launch site of which , was ELA-3 launchpad , located at the Guiana Space Centre .",The launch site of the Ariane was ELA-3 launchpad at the Guiana Space Centre . The European Space Agency manufactured the Ariane 5 .,The launch site of the Ariane was ELA-3 launchpad . The ELA-3 is located at the Guiana Space Centre . The European Space Agency manufactured the Ariane 5 .,4,3,0,26,26,2,5,0,4,3,0
47,True,"Established in 1928 and with a staff of 737 , the School of Business and Social Sciences at the Aarhus University in Aarus , Denmark has a latin name of Universitas Aarhusiensis and is affiliated with the European University Association .",The School of Business and Social Sciences at the Aarhus University was established in 1928 and has an academic staff of 737 . The latin name of the School is `` Universitas Aaarhusiensis '' and it is affiliated with the European University Association .,"The School of Business and Social Sciences at the Aarhus University in Aarhus , Denmark was established in 1928 . It has 737 academic staff . It is affiliated to the European University Association and its Latin name is `` Universitas Aarhusiensis '' .",6,1,0,30,28,2,5,0,3,4,0
48,False,"Established in 1928 and with a staff of 737 , the School of Business and Social Sciences at the Aarhus University in Aarus , Denmark has a latin name of Universitas Aarhusiensis and is affiliated with the European University Association .","The School of Business and Social Sciences at the Aarhus University in the city of Aarhus , Denmark has 737 academic staff and was established in 1928 . It is affiliated with the European University Association and has the latin name `` Universitas Aarhusiensis '' .","The School of Business and Social Sciences at the Aarhus University in Aarhus , Denmark was established in 1928 . It has 737 academic staff . It is affiliated to the European University Association and its Latin name is `` Universitas Aarhusiensis '' .",6,1,0,30,28,2,5,0,3,4,0
49,True,"Frank de Boer manages the AFC Ajax team , played for Al-Shamal Sports Club , and the Netherlands national football team , is attached to the club FC Barcelona .",Frank de Boer is the manager of AFC Ajax and plays for Al-Shamal Sports Club . He is also attached to the club FC Barcelona and the Netherlands national football team .,Frank de Boer manages the AFC Ajax team and plays for Al-Shamal Sports Club . Frank de Boer is attached to the club FC Barcelona . Frank de Boer played for the Netherlands national football team .,3,3,1,32,23,3,4,0,4,2,1
50,False,"Frank de Boer manages the AFC Ajax team , played for Al-Shamal Sports Club , and the Netherlands national football team , is attached to the club FC Barcelona .",Frank de Boer once played for Al-Shamal Sports Club and the Netherlands national football team . He is now attached to FC Barcelona while managing AFC Ajax .,Frank de Boer manages the AFC Ajax team and plays for Al-Shamal Sports Club . Frank de Boer is attached to the club FC Barcelona . Frank de Boer played for the Netherlands national football team .,3,3,1,32,23,3,4,0,4,2,1
51,True,"Aleksandra Kovac , an exponent of Rhythm and blues , is associated with the musical artists Bebi Dol and Kornelije Kovac .",Aleksandra Kovac is an exponent of Rhythm and blues . She is associated with the musical artists Bebi Dol and Kornelije Kovac .,Aleksandra Kovac is an exponent of Rhythm and blues . Aleksandra Kovac is associated with the musical artist Bebi Dol . Aleksandra Kovac is associated with Kornelije Kovac .,6,1,0,34,26,2,5,0,4,3,0
52,False,"Aleksandra Kovac , an exponent of Rhythm and blues , is associated with the musical artists Bebi Dol and Kornelije Kovac .",The musical genre of Aleksandra Kovac is rhythm and blues . Aleksandra Kovac is associated with the musical artists Bebi Dol and Kornelije Kovac .,Aleksandra Kovac is an exponent of Rhythm and blues . Aleksandra Kovac is associated with the musical artist Bebi Dol . Aleksandra Kovac is associated with Kornelije Kovac .,6,1,0,34,26,2,5,0,4,3,0
53,True,"Alessio Romagnoli , who was born in Anzio , played for the Italy national under 16 football team and is connected to UC Sampdoria .",Alessio Romagnoli was born in Anzio and plays for the Italy national under 16 football team . He is connected to UC Sampdoria .,Alessio Romagnoli played for the Italy national under-16 football team . Alessio Romagnoli was born in Anzio . Alessio Romagnoli is connected to UC Sampdoria .,4,3,0,26,29,3,4,0,1,6,0
54,False,"Alessio Romagnoli , who was born in Anzio , played for the Italy national under 16 football team and is connected to UC Sampdoria .",Alessio Romagnoli is connected to UC Sampdoria of the Italy national under 16 's football league . Alessio Romagnoli was born in Anzio .,Alessio Romagnoli played for the Italy national under-16 football team . Alessio Romagnoli was born in Anzio . Alessio Romagnoli is connected to UC Sampdoria .,4,3,0,26,29,3,4,0,1,6,0
55,True,Al-Taqaddum Air Base which serves the city of Fallujah has a runway length of 4019.0 and is located at 84 metres above sea level .,The runway length of Al-Taqaddum Air Base is 4019.0 . The runway at Al -Taqadum International Airport serves the city of Fallujah and is 84 metres above sea level .,The runway length of Al-Taqaddum air base is 4019.0 . Al-Taqaddum Air Base serves the city of Fallujah . Al-Taqaddum Air Base is 84 metres above sea level .,6,1,0,28,23,3,4,0,2,5,0
56,False,Al-Taqaddum Air Base which serves the city of Fallujah has a runway length of 4019.0 and is located at 84 metres above sea level .,The runway length of Al-Taqaddum air base is 4019.0 and it serves the city of Fallujah . Al-Taqaddum Air Base is 84 metres above sea level .,The runway length of Al-Taqaddum air base is 4019.0 . Al-Taqaddum Air Base serves the city of Fallujah . Al-Taqaddum Air Base is 84 metres above sea level .,6,1,0,28,23,3,4,0,2,5,0
57,True,Aleksandr Prudnikov who was born on 24 February 1989 plays for FC Kuban Krasnodar and FC Alania Vladikavkaz .,Aleksandr Prudnikov was born 1989-02-24 . He plays for FC Kuban Krasnodar and FC Alania Vladikavkaz .,Aleksandr Prudnikov was born on 24th February 1989 . Aleksandr Prudnikov plays for FC Kuban Krasnodar . Aleksandr Prudnikov plays for FC Alania Vladikavkaz .,3,3,1,29,29,1,5,1,0,6,1
58,True,"These books were written in the following order - Castle , Aenir , Above the Veil , Into Battle and then The Violet Keystone .","These books were written in the following order . Castle , Aenir , Above the Veil , Into Battle and then The Violet Keystone .",Above the Veil is followed by Into Battle and The Violet Keystone . Above the Veil is the sequel to Aenir . Aenir was written after Castle .,4,3,0,28,26,2,5,0,2,5,0
59,False,"These books were written in the following order - Castle , Aenir , Above the Veil , Into Battle and then The Violet Keystone .","These novels were published in the following order : Castle , Aenir , Above the Veil and Into Battle . Into Battle was followed by The Violet Keystone .",Above the Veil is followed by Into Battle and The Violet Keystone . Above the Veil is the sequel to Aenir . Aenir was written after Castle .,4,3,0,28,26,2,5,0,2,5,0
60,True,"Akeem Priestley is connected to the Orange County Blues Football club which is managed by Oliver Wyss , but he also plays for Jacksonville Dolphins who have their baseball field in the John Sessions stadium .",Akeem Priestley is connected to the Orange County Blues Football Club which is managed by Oliver Wyss . He also plays for Jacksonville Dolphins who play their home games at the John Sessions Stadium .,Akeem Priestley is connected to the Orange County Blues Football Club which is managed by Oliver Wyss . Akeem Priestley plays for Jacksonville Dolphins . The Jacksonville Dolphins baseball field is the John Sessions stadium .,2,5,0,25,28,2,5,0,2,5,0
61,False,"Akeem Priestley is connected to the Orange County Blues Football club which is managed by Oliver Wyss , but he also plays for Jacksonville Dolphins who have their baseball field in the John Sessions stadium .",Akeem Priestley is in the Jackson Dolphins club and plays for the Orange County Blues FC who are managed by Oliver Wyss . The Jacksonville Dolphins baseball field is the John Sessions stadium .,Akeem Priestley is connected to the Orange County Blues Football Club which is managed by Oliver Wyss . Akeem Priestley plays for Jacksonville Dolphins . The Jacksonville Dolphins baseball field is the John Sessions stadium .,2,5,0,25,28,2,5,0,2,5,0
62,True,"Abdul Taib Mahmud , who was born in Miri , Malaysia and lives in Kuching , was a member of the Parti Pesaka Bumiputera Bersatu and represented Asajaya .","Abdul Taib Mahmud was born in Miri , Malaysia and lives in Kuching . He was a member of the Parti Pesaka Bumiputera Bersatu and represented Asajaya .","Abdul Taib Mahmud , was born in Miri , Malaysia , and is part of the Parti Pesaka Bumiputera Bersatu . Abdul Taib Mahmud 's region is Asajaya . Abdul Taib Mahmud lives in Kuching .",4,3,0,31,28,1,6,0,4,3,0
63,False,"Abdul Taib Mahmud , who was born in Miri , Malaysia and lives in Kuching , was a member of the Parti Pesaka Bumiputera Bersatu and represented Asajaya .","Abdul Taib Mahmud was born in Miri , Malaysia and he lives in Kuching . His party is the Parti Pesaka Bumiputera Bersatu and he represented Asajaya .","Abdul Taib Mahmud , was born in Miri , Malaysia , and is part of the Parti Pesaka Bumiputera Bersatu . Abdul Taib Mahmud 's region is Asajaya . Abdul Taib Mahmud lives in Kuching .",4,3,0,31,28,1,6,0,4,3,0
